Date,Month,Quarter,Year,Factory,Machine_ID,Shift,Operator_ID,Product_Type,Units_Target,Units_Produced,Good_Units,Defective_Units,Defect_Rate_%,Defect_Type,Downtime_Minutes,Temperature_C,Pressure_Bar,Production_Cost_PKR,Scrap_Cost_PKR,Efficiency_%
2023-10-09,October,Q4,2023,Factory-Lahore,M-102,Morning,OP-005,Engine Part B,148,153,146,7,4.58,Surface Crack,7,82.3,2.83,228600.27,4183.53,98.6
2023-01-09,January,Q1,2023,Factory-Karachi,M-103,Night,OP-018,Gear Box,313,285,209,76,26.67,Assembly Fault,58,113.6,1.97,391668.0,41777.92,66.8
2024-08-02,August,Q3,2024,Factory-Karachi,M-103,Night,OP-010,Engine Part A,256,249,190,59,23.69,Material Defect,20,62.6,3.25,337401.45,31978.61,74.2
2024-12-03,December,Q4,2024,Factory-Lahore,M-104,Night,OP-011,Suspension Unit,366,310,287,23,7.42,Assembly Fault,69,98.3,2.77,559650.57,16608.98,78.4
2023-02-20,February,Q1,2023,Factory-Islamabad,M-101,Night,OP-005,Transmission Kit,211,176,171,5,2.84,Surface Crack,38,102.9,3.46,126235.27,1434.49,81.0
2024-09-12,September,Q3,2024,Factory-Karachi,M-102,Morning,OP-003,Engine Part A,123,102,95,7,6.86,Material Defect,22,73.0,5.88,94054.89,2581.9,77.2
2024-05-23,May,Q2,2024,Factory-Lahore,M-105,Night,OP-016,Engine Part B,414,365,346,19,5.21,Surface Crack,72,95.3,4.17,518099.03,10787.82,83.6
2023-10-21,October,Q4,2023,Factory-Lahore,M-102,Night,OP-018,Brake Disc,110,84,76,8,9.52,Surface Crack,74,84.6,4.82,135885.88,5176.61,69.1
2023-08-24,August,Q3,2023,Factory-Lahore,M-101,Morning,OP-006,Fuel Pump,376,319,303,16,5.02,Assembly Fault,11,112.4,1.52,461820.27,9265.36,80.6
2024-09-13,September,Q3,2024,Factory-Islamabad,M-102,Evening,OP-008,Brake Disc,381,366,330,36,9.84,Dimensional Error,45,101.3,5.66,645505.75,25396.95,86.6
2023-12-27,December,Q4,2023,Factory-Lahore,M-105,Night,OP-015,Engine Part A,303,275,265,10,3.64,Dimensional Error,78,105.4,5.7,491340.26,7146.77,87.5
2023-08-13,August,Q3,2023,Factory-Islamabad,M-105,Morning,OP-007,Transmission Kit,209,207,200,7,3.38,Material Defect,28,65.0,3.01,138910.88,1878.99,95.7
2024-10-13,October,Q4,2024,Factory-Lahore,M-102,Evening,OP-008,Suspension Unit,322,294,264,30,10.2,Dimensional Error,16,60.0,1.83,215378.17,8790.95,82.0
2023-07-14,July,Q3,2023,Factory-Lahore,M-102,Morning,OP-018,Gear Box,360,348,331,17,4.89,Material Defect,10,87.7,4.2,620904.21,12132.61,91.9
2024-09-27,September,Q3,2024,Factory-Karachi,M-103,Night,OP-016,Engine Part A,352,304,242,62,20.39,Dimensional Error,74,105.3,4.76,528437.93,43109.41,68.8
2023-09-14,September,Q3,2023,Factory-Islamabad,M-101,Night,OP-009,Engine Part B,226,221,209,12,5.43,Surface Crack,79,96.4,5.8,149212.2,3240.81,92.5
2024-11-25,November,Q4,2024,Factory-Islamabad,M-103,Night,OP-018,Transmission Kit,429,353,278,75,21.25,Dimensional Error,64,99.6,2.3,534207.4,45400.06,64.8
2024-11-06,November,Q4,2024,Factory-Islamabad,M-104,Evening,OP-013,Fuel Pump,373,322,310,12,3.73,Dimensional Error,32,94.5,1.92,317333.95,4730.44,83.1
2024-11-28,November,Q4,2024,Factory-Karachi,M-103,Night,OP-011,Gear Box,214,199,158,41,20.6,Surface Crack,21,105.8,4.82,364148.44,30010.22,73.8
2023-05-21,May,Q2,2023,Factory-Lahore,M-104,Evening,OP-020,Suspension Unit,310,271,247,24,8.86,Material Defect,29,63.8,3.47,387016.14,13709.8,79.7
2024-10-05,October,Q4,2024,Factory-Islamabad,M-101,Night,OP-020,Engine Part A,334,281,265,16,5.69,Assembly Fault,52,93.5,4.59,499031.37,11365.84,79.3
2023-04-10,April,Q2,2023,Factory-Islamabad,M-104,Evening,OP-007,Engine Part B,411,407,375,32,7.86,Assembly Fault,17,84.7,2.59,715645.82,22506.8,91.2
2024-10-04,October,Q4,2024,Factory-Karachi,M-102,Evening,OP-010,Engine Part B,497,459,443,16,3.49,Material Defect,28,79.0,5.07,344249.05,4799.99,89.1
2024-10-23,October,Q4,2024,Factory-Lahore,M-101,Evening,OP-002,Gear Box,183,159,148,11,6.92,Surface Crack,12,83.8,2.8,223036.29,6172.07,80.9
2023-02-10,February,Q1,2023,Factory-Karachi,M-101,Night,OP-018,Gear Box,229,196,191,5,2.55,Dimensional Error,48,60.0,5.45,266501.51,2719.4,83.4
2023-11-13,November,Q4,2023,Factory-Karachi,M-101,Evening,OP-018,Suspension Unit,382,313,296,17,5.43,Assembly Fault,40,75.7,5.35,623579.01,13547.4,77.5
2024-03-27,March,Q1,2024,Factory-Lahore,M-104,Morning,OP-015,Engine Part A,289,296,287,9,3.04,Material Defect,11,62.8,3.05,321327.54,3908.04,99.3
2023-02-04,February,Q1,2023,Factory-Islamabad,M-101,Night,OP-007,Fuel Pump,108,110,103,7,6.36,Dimensional Error,69,77.6,4.01,181596.93,4622.47,95.4
2024-08-16,August,Q3,2024,Factory-Karachi,M-104,Night,OP-015,Exhaust Pipe,391,299,277,22,7.36,Surface Crack,22,99.2,3.89,222154.97,6538.34,70.8
2024-01-09,January,Q1,2024,Factory-Karachi,M-101,Morning,OP-012,Brake Disc,452,355,343,12,3.38,Surface Crack,14,78.2,5.86,247537.97,3346.99,75.9
2023-05-15,May,Q2,2023,Factory-Islamabad,M-104,Evening,OP-011,Exhaust Pipe,316,289,265,24,8.3,Dimensional Error,33,69.9,5.73,308289.22,10240.75,83.9
2023-04-03,April,Q2,2023,Factory-Islamabad,M-101,Evening,OP-020,Fuel Pump,323,326,316,10,3.07,Surface Crack,37,106.1,2.33,581148.0,7130.65,97.8
2023-10-30,October,Q4,2023,Factory-Lahore,M-105,Morning,OP-007,Fuel Pump,425,401,389,12,2.99,Material Defect,30,61.8,3.75,489460.79,5858.88,91.5
2023-12-01,December,Q4,2023,Factory-Islamabad,M-103,Night,OP-011,Exhaust Pipe,290,269,216,53,19.7,Dimensional Error,61,70.2,5.32,464474.7,36605.44,74.5
2024-03-01,March,Q1,2024,Factory-Lahore,M-103,Morning,OP-005,Suspension Unit,247,209,178,31,14.83,Surface Crack,8,70.0,5.23,386484.1,22930.16,72.1
2023-06-29,June,Q2,2023,Factory-Karachi,M-101,Night,OP-005,Brake Disc,437,351,341,10,2.85,Dimensional Error,28,115.8,5.01,300190.24,3420.97,78.0
2023-07-25,July,Q3,2023,Factory-Karachi,M-104,Evening,OP-009,Gear Box,374,352,326,26,7.39,Assembly Fault,32,93.3,4.71,345608.86,10211.17,87.2
2023-05-16,May,Q2,2023,Factory-Lahore,M-102,Morning,OP-012,Exhaust Pipe,171,164,155,9,5.49,Surface Crack,17,66.9,3.76,202356.37,4441.97,90.6
2024-07-06,July,Q3,2024,Factory-Karachi,M-104,Morning,OP-002,Engine Part A,370,372,360,12,3.23,Assembly Fault,14,96.0,2.66,439392.27,5669.58,97.3
2024-01-10,January,Q1,2024,Factory-Islamabad,M-104,Morning,OP-007,Fuel Pump,282,276,263,13,4.71,Material Defect,21,103.9,5.34,260459.79,4907.21,93.3
2024-06-27,June,Q2,2024,Factory-Islamabad,M-101,Evening,OP-019,Exhaust Pipe,335,271,261,10,3.69,Surface Crack,23,62.2,2.54,343036.59,5063.27,77.9
2024-05-28,May,Q2,2024,Factory-Islamabad,M-102,Morning,OP-007,Engine Part B,315,244,223,21,8.61,Dimensional Error,27,72.1,5.21,312746.62,10766.69,70.8
2023-10-07,October,Q4,2023,Factory-Islamabad,M-104,Morning,OP-018,Suspension Unit,189,187,176,11,5.88,Surface Crack,16,107.7,3.66,226798.6,5336.44,93.1
2023-06-18,June,Q2,2023,Factory-Lahore,M-103,Night,OP-011,Transmission Kit,450,345,303,42,12.17,Dimensional Error,76,101.5,3.34,602921.43,29359.65,67.3
2023-09-21,September,Q3,2023,Factory-Karachi,M-103,Night,OP-017,Brake Disc,125,97,79,18,18.56,Assembly Fault,33,81.4,4.59,75852.77,5630.31,63.2
2024-05-08,May,Q2,2024,Factory-Islamabad,M-104,Evening,OP-016,Engine Part B,326,317,290,27,8.52,Dimensional Error,35,95.3,1.79,306091.22,10428.34,89.0
2023-10-30,October,Q4,2023,Factory-Karachi,M-104,Morning,OP-014,Exhaust Pipe,234,243,231,12,4.94,Surface Crack,24,95.3,4.14,132068.0,2608.75,98.7
2023-12-13,December,Q4,2023,Factory-Karachi,M-101,Morning,OP-008,Fuel Pump,395,298,278,20,6.71,Material Defect,26,102.5,2.24,463809.47,12451.26,70.4
2023-04-28,April,Q2,2023,Factory-Lahore,M-105,Evening,OP-010,Exhaust Pipe,299,249,235,14,5.62,Material Defect,43,77.9,4.88,461002.59,10367.93,78.6
2024-04-24,April,Q2,2024,Factory-Lahore,M-105,Evening,OP-018,Suspension Unit,289,288,272,16,5.56,Dimensional Error,31,98.1,4.07,469828.97,10440.64,94.1
2023-03-19,March,Q1,2023,Factory-Islamabad,M-105,Night,OP-002,Engine Part B,191,151,146,5,3.31,Surface Crack,79,103.9,4.24,278714.45,3691.58,76.4
2023-05-25,May,Q2,2023,Factory-Islamabad,M-102,Evening,OP-020,Brake Disc,331,337,315,22,6.53,Assembly Fault,31,105.0,3.88,631489.51,16489.93,95.2
2023-08-20,August,Q3,2023,Factory-Lahore,M-103,Morning,OP-014,Exhaust Pipe,354,346,305,41,11.85,Dimensional Error,17,118.9,1.97,267574.88,12682.74,86.2
2024-11-23,November,Q4,2024,Factory-Karachi,M-101,Morning,OP-018,Fuel Pump,158,155,147,8,5.16,Assembly Fault,24,119.2,3.71,202764.16,4186.1,93.0
2024-11-21,November,Q4,2024,Factory-Lahore,M-103,Night,OP-020,Engine Part A,436,446,329,117,26.23,Assembly Fault,41,110.0,3.5,609074.68,63911.87,75.5
2024-02-11,February,Q1,2024,Factory-Karachi,M-103,Morning,OP-019,Transmission Kit,206,168,130,38,22.62,Surface Crack,7,97.7,4.46,271617.41,24574.91,63.1
2024-07-24,July,Q3,2024,Factory-Islamabad,M-104,Night,OP-011,Engine Part A,199,156,148,8,5.13,Surface Crack,35,67.3,2.59,214771.37,4405.57,74.4
2024-01-10,January,Q1,2024,Factory-Islamabad,M-102,Night,OP-016,Gear Box,257,203,184,19,9.36,Surface Crack,64,67.3,4.76,114368.94,4281.79,71.6
2023-04-03,April,Q2,2023,Factory-Islamabad,M-105,Evening,OP-004,Engine Part B,121,101,99,2,1.98,Surface Crack,18,78.0,4.72,81797.49,647.9,81.8
2024-02-09,February,Q1,2024,Factory-Lahore,M-103,Night,OP-013,Suspension Unit,487,423,316,107,25.3,Material Defect,30,73.0,3.07,668736.23,67664.09,64.9
2023-01-15,January,Q1,2023,Factory-Karachi,M-105,Morning,OP-008,Brake Disc,416,319,313,6,1.88,Material Defect,15,92.7,5.89,626789.79,4715.66,75.2
2023-09-28,September,Q3,2023,Factory-Karachi,M-101,Evening,OP-008,Exhaust Pipe,144,136,127,9,6.62,Assembly Fault,34,74.4,3.69,105931.23,2804.06,88.2
2024-07-03,July,Q3,2024,Factory-Karachi,M-101,Morning,OP-008,Transmission Kit,301,312,295,17,5.45,Material Defect,26,68.0,3.79,268312.6,5847.84,98.0
2023-05-07,May,Q2,2023,Factory-Lahore,M-102,Evening,OP-018,Engine Part A,404,354,323,31,8.76,Dimensional Error,34,84.6,3.04,309417.6,10838.36,80.0
2024-04-10,April,Q2,2024,Factory-Karachi,M-105,Morning,OP-009,Transmission Kit,135,134,128,6,4.48,Material Defect,7,62.1,1.97,267834.37,4797.03,94.8
2024-01-13,January,Q1,2024,Factory-Karachi,M-103,Night,OP-018,Brake Disc,425,435,364,71,16.32,Dimensional Error,53,62.6,3.18,298696.92,19501.13,85.6
2024-11-19,November,Q4,2024,Factory-Lahore,M-105,Night,OP-016,Engine Part A,209,157,153,4,2.55,Surface Crack,73,72.5,2.1,280374.15,2857.32,73.2
2024-11-19,November,Q4,2024,Factory-Islamabad,M-103,Night,OP-009,Exhaust Pipe,332,260,202,58,22.31,Material Defect,49,95.5,5.07,491360.35,43844.46,60.8
2023-09-26,September,Q3,2023,Factory-Karachi,M-105,Morning,OP-013,Transmission Kit,233,223,211,12,5.38,Surface Crack,26,111.6,4.32,342992.53,7382.8,90.6
2024-08-21,August,Q3,2024,Factory-Islamabad,M-105,Morning,OP-018,Gear Box,490,493,465,28,5.68,Assembly Fault,21,87.3,2.71,483066.83,10974.34,94.9
2024-01-26,January,Q1,2024,Factory-Karachi,M-101,Night,OP-018,Brake Disc,483,491,476,15,3.05,Material Defect,82,67.4,2.7,390256.12,4768.91,98.6
2024-10-15,October,Q4,2024,Factory-Lahore,M-105,Night,OP-013,Engine Part B,238,233,222,11,4.72,Surface Crack,24,72.2,5.76,322931.34,6098.27,93.3
2024-01-16,January,Q1,2024,Factory-Islamabad,M-105,Evening,OP-016,Brake Disc,326,308,298,10,3.25,Material Defect,42,73.3,2.55,340972.78,4428.22,91.4
2023-04-21,April,Q2,2023,Factory-Lahore,M-104,Morning,OP-008,Exhaust Pipe,467,351,341,10,2.85,Material Defect,8,116.5,3.07,445410.8,5075.91,73.0
2024-11-22,November,Q4,2024,Factory-Karachi,M-101,Morning,OP-005,Gear Box,278,230,223,7,3.04,Dimensional Error,6,115.4,1.81,407346.93,4959.01,80.2
2023-08-28,August,Q3,2023,Factory-Islamabad,M-101,Night,OP-012,Engine Part A,330,293,286,7,2.39,Assembly Fault,55,64.0,1.75,449817.09,4298.59,86.7
2024-04-27,April,Q2,2024,Factory-Lahore,M-101,Night,OP-009,Brake Disc,290,304,293,11,3.62,Assembly Fault,90,98.6,1.77,372120.86,5385.96,101.0
2023-01-26,January,Q1,2023,Factory-Lahore,M-101,Night,OP-009,Gear Box,378,391,381,10,2.56,Material Defect,80,69.1,3.25,345502.84,3534.56,100.8
2024-09-26,September,Q3,2024,Factory-Karachi,M-102,Morning,OP-003,Gear Box,353,353,322,31,8.78,Dimensional Error,10,77.4,2.69,647794.13,22755.37,91.2
2024-07-28,July,Q3,2024,Factory-Lahore,M-102,Evening,OP-018,Engine Part B,418,319,304,15,4.7,Surface Crack,34,91.6,1.95,342039.38,6433.34,72.7
2023-12-02,December,Q4,2023,Factory-Islamabad,M-104,Morning,OP-013,Gear Box,329,315,303,12,3.81,Dimensional Error,9,106.7,1.64,315892.0,4813.59,92.1
2024-09-16,September,Q3,2024,Factory-Lahore,M-104,Evening,OP-019,Gear Box,284,229,209,20,8.73,Surface Crack,11,60.6,3.59,322288.37,11258.98,73.6
2023-08-15,August,Q3,2023,Factory-Lahore,M-101,Morning,OP-005,Suspension Unit,270,279,265,14,5.02,Surface Crack,5,61.6,3.58,397018.09,7968.82,98.1
2024-10-25,October,Q4,2024,Factory-Lahore,M-102,Morning,OP-006,Suspension Unit,147,115,107,8,6.96,Surface Crack,17,94.0,4.84,139025.91,3868.55,72.8
2023-03-06,March,Q1,2023,Factory-Lahore,M-104,Evening,OP-004,Gear Box,112,111,106,5,4.5,Surface Crack,27,104.6,5.07,221799.14,3996.38,94.6
2024-10-12,October,Q4,2024,Factory-Karachi,M-105,Morning,OP-001,Engine Part B,332,274,266,8,2.92,Assembly Fault,6,119.0,2.15,229714.57,2682.8,80.1
2024-04-20,April,Q2,2024,Factory-Karachi,M-103,Morning,OP-005,Gear Box,147,138,126,12,8.7,Surface Crack,15,70.9,5.6,124864.77,4343.12,85.7
2024-12-18,December,Q4,2024,Factory-Islamabad,M-102,Night,OP-009,Engine Part A,256,248,232,16,6.45,Dimensional Error,80,113.0,3.19,132408.67,3417.0,90.6
2023-11-06,November,Q4,2023,Factory-Karachi,M-104,Night,OP-004,Fuel Pump,215,220,208,12,5.45,Surface Crack,30,99.1,4.21,209035.62,4560.78,96.7
2024-10-26,October,Q4,2024,Factory-Islamabad,M-102,Evening,OP-012,Fuel Pump,399,363,348,15,4.13,Assembly Fault,12,67.9,1.98,544907.38,9006.73,87.2
2024-02-23,February,Q1,2024,Factory-Lahore,M-105,Night,OP-014,Engine Part B,376,381,359,22,5.77,Assembly Fault,56,104.0,5.11,696218.15,16080.63,95.5
2023-04-30,April,Q2,2023,Factory-Islamabad,M-104,Night,OP-014,Transmission Kit,164,133,126,7,5.26,Material Defect,27,114.5,3.75,120212.24,2530.78,76.8
2023-05-24,May,Q2,2023,Factory-Karachi,M-103,Morning,OP-018,Brake Disc,145,151,135,16,10.6,Surface Crack,6,89.4,4.29,203982.98,8645.64,93.1
2023-02-16,February,Q1,2023,Factory-Lahore,M-104,Evening,OP-013,Engine Part A,392,380,352,28,7.37,Dimensional Error,22,83.6,5.83,546436.53,16105.5,89.8
2023-02-08,February,Q1,2023,Factory-Islamabad,M-103,Morning,OP-009,Exhaust Pipe,361,318,264,54,16.98,Material Defect,6,90.3,2.03,432838.19,29400.33,73.1
2023-11-08,November,Q4,2023,Factory-Lahore,M-103,Evening,OP-005,Transmission Kit,465,468,412,56,11.97,Dimensional Error,20,72.0,4.77,715796.1,34260.33,88.6
2024-05-19,May,Q2,2024,Factory-Lahore,M-101,Evening,OP-007,Fuel Pump,489,398,387,11,2.76,Material Defect,11,92.9,3.2,672587.83,7435.64,79.1
2023-04-29,April,Q2,2023,Factory-Islamabad,M-104,Morning,OP-001,Engine Part B,101,91,86,5,5.49,Material Defect,29,94.1,1.9,79914.73,1756.37,85.1
2023-04-10,April,Q2,2023,Factory-Karachi,M-101,Morning,OP-019,Engine Part B,485,471,456,15,3.18,Material Defect,12,68.3,3.73,895242.99,11404.37,94.0
2023-08-29,August,Q3,2023,Factory-Lahore,M-105,Morning,OP-018,Transmission Kit,475,404,388,16,3.96,Material Defect,7,116.6,5.4,533853.58,8457.09,81.7
2024-07-04,July,Q3,2024,Factory-Lahore,M-103,Evening,OP-002,Brake Disc,111,113,87,26,23.01,Surface Crack,42,76.6,2.49,130158.27,11979.17,78.4
2023-05-19,May,Q2,2023,Factory-Lahore,M-102,Evening,OP-017,Engine Part B,143,120,111,9,7.5,Dimensional Error,45,98.7,4.62,119350.7,3580.52,77.6
2024-02-02,February,Q1,2024,Factory-Lahore,M-105,Evening,OP-007,Gear Box,425,351,333,18,5.13,Assembly Fault,10,64.1,2.42,577029.51,11836.5,78.4
2024-04-09,April,Q2,2024,Factory-Karachi,M-104,Evening,OP-011,Engine Part A,292,301,282,19,6.31,Material Defect,26,77.0,5.51,273912.22,6916.06,96.6
2024-01-15,January,Q1,2024,Factory-Islamabad,M-104,Evening,OP-002,Gear Box,148,113,109,4,3.54,Surface Crack,11,108.6,4.68,147873.19,2093.78,73.6
2024-11-17,November,Q4,2024,Factory-Islamabad,M-105,Morning,OP-008,Gear Box,362,320,302,18,5.62,Dimensional Error,14,118.1,2.17,587527.8,13219.38,83.4
2024-12-14,December,Q4,2024,Factory-Islamabad,M-101,Night,OP-003,Fuel Pump,354,293,281,12,4.1,Dimensional Error,37,88.1,5.05,304065.59,4981.28,79.4
2024-07-07,July,Q3,2024,Factory-Lahore,M-104,Evening,OP-012,Gear Box,332,250,239,11,4.4,Dimensional Error,20,97.2,5.97,335005.13,5896.09,72.0
2024-03-05,March,Q1,2024,Factory-Lahore,M-105,Night,OP-018,Fuel Pump,159,152,144,8,5.26,Surface Crack,42,107.2,5.89,154876.96,3260.57,90.6
2024-08-24,August,Q3,2024,Factory-Lahore,M-103,Night,OP-002,Transmission Kit,131,116,102,14,12.07,Dimensional Error,27,75.9,3.34,67358.09,3251.77,77.9
2023-06-08,June,Q2,2023,Factory-Karachi,M-105,Morning,OP-003,Gear Box,115,89,85,4,4.49,Material Defect,10,72.0,5.57,120301.07,2162.72,73.9
2024-02-29,February,Q1,2024,Factory-Lahore,M-101,Evening,OP-001,Engine Part B,435,444,412,32,7.21,Assembly Fault,33,60.7,4.81,511860.65,14756.34,94.7
2024-11-01,November,Q4,2024,Factory-Karachi,M-102,Night,OP-013,Exhaust Pipe,471,359,325,34,9.47,Dimensional Error,42,113.6,5.9,405110.99,15346.82,69.0
2023-04-12,April,Q2,2023,Factory-Lahore,M-103,Evening,OP-020,Engine Part A,145,123,112,11,8.94,Assembly Fault,41,103.2,5.09,242870.06,8688.03,77.2
2024-05-16,May,Q2,2024,Factory-Lahore,M-104,Morning,OP-012,Exhaust Pipe,385,399,386,13,3.26,Surface Crack,18,92.1,2.23,389733.42,5079.23,100.3
2024-09-22,September,Q3,2024,Factory-Karachi,M-102,Evening,OP-015,Gear Box,101,91,83,8,8.79,Dimensional Error,34,116.1,5.69,152402.93,5359.22,82.2
2024-02-22,February,Q1,2024,Factory-Islamabad,M-102,Evening,OP-015,Engine Part B,309,310,290,20,6.45,Surface Crack,27,107.4,2.82,372192.91,9604.98,93.9
2023-10-14,October,Q4,2023,Factory-Islamabad,M-102,Night,OP-007,Engine Part A,285,215,202,13,6.05,Assembly Fault,33,108.4,2.86,289914.16,7011.88,70.9
2023-02-03,February,Q1,2023,Factory-Karachi,M-102,Morning,OP-009,Brake Disc,207,174,165,9,5.17,Surface Crack,18,112.7,4.89,229945.46,4757.49,79.7
2024-12-07,December,Q4,2024,Factory-Islamabad,M-102,Morning,OP-014,Fuel Pump,229,213,195,18,8.45,Material Defect,10,81.4,4.09,161475.58,5458.33,85.2
2024-01-15,January,Q1,2024,Factory-Lahore,M-103,Evening,OP-004,Engine Part B,443,426,350,76,17.84,Dimensional Error,22,92.8,1.86,306774.35,21891.88,79.0
2023-08-11,August,Q3,2023,Factory-Lahore,M-101,Night,OP-010,Transmission Kit,215,183,174,9,4.92,Surface Crack,56,90.0,5.39,312827.03,6153.97,80.9
2024-03-30,March,Q1,2024,Factory-Islamabad,M-105,Night,OP-014,Exhaust Pipe,374,283,273,10,3.53,Surface Crack,53,112.0,1.58,500942.08,7080.45,73.0
2024-03-31,March,Q1,2024,Factory-Lahore,M-101,Morning,OP-012,Engine Part B,259,209,196,13,6.22,Surface Crack,7,108.1,2.34,375110.02,9332.88,75.7
2023-08-30,August,Q3,2023,Factory-Islamabad,M-104,Morning,OP-017,Exhaust Pipe,317,238,218,20,8.4,Material Defect,20,68.5,4.71,348144.03,11702.32,68.8
2024-01-07,January,Q1,2024,Factory-Lahore,M-101,Morning,OP-002,Brake Disc,457,370,350,20,5.41,Surface Crack,22,109.7,4.3,691392.62,14949.03,76.6
2023-04-12,April,Q2,2023,Factory-Lahore,M-101,Morning,OP-001,Exhaust Pipe,207,173,161,12,6.94,Surface Crack,8,74.4,4.88,215311.13,5973.95,77.8
2024-12-03,December,Q4,2024,Factory-Lahore,M-105,Evening,OP-004,Transmission Kit,422,412,390,22,5.34,Surface Crack,19,105.6,5.73,628553.12,13425.41,92.4
2024-01-12,January,Q1,2024,Factory-Islamabad,M-105,Evening,OP-010,Engine Part B,425,378,363,15,3.97,Material Defect,33,115.3,4.33,232682.43,3693.37,85.4
2024-07-11,July,Q3,2024,Factory-Islamabad,M-103,Morning,OP-006,Fuel Pump,461,362,299,63,17.4,Surface Crack,10,93.5,4.54,635556.69,44243.17,64.9
2024-10-22,October,Q4,2024,Factory-Islamabad,M-104,Morning,OP-002,Suspension Unit,466,381,368,13,3.41,Surface Crack,18,66.3,1.62,584983.26,7984.02,79.0
2024-01-03,January,Q1,2024,Factory-Lahore,M-105,Evening,OP-007,Gear Box,446,414,394,20,4.83,Dimensional Error,34,75.1,3.71,281901.58,5447.37,88.3
2023-03-04,March,Q1,2023,Factory-Lahore,M-104,Evening,OP-015,Brake Disc,314,288,278,10,3.47,Assembly Fault,10,70.9,2.79,150447.32,2089.55,88.5
2024-02-12,February,Q1,2024,Factory-Lahore,M-103,Evening,OP-006,Engine Part A,433,358,270,88,24.58,Dimensional Error,22,107.9,2.11,649594.02,63870.7,62.4
2023-10-10,October,Q4,2023,Factory-Islamabad,M-102,Morning,OP-002,Transmission Kit,296,275,251,24,8.73,Material Defect,22,81.1,3.55,301844.45,10537.12,84.8
2023-07-14,July,Q3,2023,Factory-Islamabad,M-101,Evening,OP-012,Suspension Unit,133,117,111,6,5.13,Dimensional Error,25,94.7,5.92,221981.4,4553.46,83.5
2023-05-06,May,Q2,2023,Factory-Islamabad,M-101,Evening,OP-004,Engine Part A,308,313,293,20,6.39,Dimensional Error,34,64.4,3.66,161028.88,4115.75,95.1
2024-04-10,April,Q2,2024,Factory-Lahore,M-103,Morning,OP-010,Exhaust Pipe,208,199,157,42,21.11,Assembly Fault,24,92.3,2.5,140380.63,11851.23,75.5
2023-04-04,April,Q2,2023,Factory-Lahore,M-105,Morning,OP-001,Brake Disc,254,260,248,12,4.62,Dimensional Error,24,108.6,1.84,136033.41,2511.39,97.6
2024-11-09,November,Q4,2024,Factory-Karachi,M-101,Morning,OP-003,Engine Part B,293,261,250,11,4.21,Material Defect,30,102.9,5.95,403878.92,6808.69,85.3
2023-08-06,August,Q3,2023,Factory-Lahore,M-102,Morning,OP-010,Fuel Pump,381,296,286,10,3.38,Material Defect,5,109.2,5.46,270604.95,3656.82,75.1
2024-10-19,October,Q4,2024,Factory-Karachi,M-104,Evening,OP-017,Gear Box,399,393,362,31,7.89,Surface Crack,17,79.2,2.61,395137.94,12467.46,90.7
2024-10-16,October,Q4,2024,Factory-Karachi,M-102,Night,OP-016,Engine Part B,268,265,254,11,4.15,Assembly Fault,67,105.9,3.74,171638.79,2849.85,94.8
2024-09-03,September,Q3,2024,Factory-Islamabad,M-103,Morning,OP-002,Transmission Kit,490,466,374,92,19.74,Assembly Fault,10,73.6,3.23,340302.29,26873.66,76.3
2023-01-22,January,Q1,2023,Factory-Karachi,M-104,Night,OP-014,Fuel Pump,495,439,423,16,3.64,Surface Crack,65,63.9,1.96,522866.05,7622.65,85.5
2023-02-21,February,Q1,2023,Factory-Karachi,M-105,Evening,OP-013,Engine Part B,234,228,220,8,3.51,Material Defect,24,88.9,4.75,188047.46,2639.26,94.0
2023-12-08,December,Q4,2023,Factory-Islamabad,M-103,Evening,OP-001,Brake Disc,497,400,333,67,16.75,Material Defect,14,110.4,3.76,394590.57,26437.57,67.0
2023-09-07,September,Q3,2023,Factory-Lahore,M-102,Evening,OP-019,Engine Part A,188,159,145,14,8.81,Material Defect,35,101.1,3.31,114678.89,4039.0,77.1
2023-05-09,May,Q2,2023,Factory-Lahore,M-102,Night,OP-015,Exhaust Pipe,313,274,262,12,4.38,Material Defect,77,99.2,3.2,222025.39,3889.5,83.7
2024-08-01,August,Q3,2024,Factory-Karachi,M-101,Night,OP-007,Brake Disc,472,431,401,30,6.96,Dimensional Error,80,85.1,2.12,605819.24,16867.36,85.0
2023-07-30,July,Q3,2023,Factory-Islamabad,M-105,Evening,OP-002,Suspension Unit,308,313,299,14,4.47,Dimensional Error,26,91.0,5.71,623017.81,11146.64,97.1
2023-03-12,March,Q1,2023,Factory-Karachi,M-102,Morning,OP-008,Fuel Pump,232,174,159,15,8.62,Material Defect,26,91.5,5.25,288492.75,9948.03,68.5
2024-07-21,July,Q3,2024,Factory-Islamabad,M-102,Night,OP-003,Transmission Kit,267,248,232,16,6.45,Assembly Fault,52,106.6,2.91,377633.86,9745.39,86.9
2023-08-01,August,Q3,2023,Factory-Islamabad,M-104,Evening,OP-016,Engine Part A,356,330,311,19,5.76,Surface Crack,31,80.7,2.21,586016.49,13496.14,87.4
2024-08-23,August,Q3,2024,Factory-Lahore,M-102,Night,OP-006,Exhaust Pipe,344,279,262,17,6.09,Dimensional Error,36,87.3,2.43,164457.79,4008.29,76.2
2023-08-10,August,Q3,2023,Factory-Karachi,M-102,Night,OP-004,Gear Box,154,150,136,14,9.33,Material Defect,67,99.1,3.71,211518.14,7896.68,88.3
